count,SAB / CR,MFA,MAT,SALT,MAE,Course caps,Enrollment,wait listed,,Dept,Course,section,Combined AY 26-27,Professor First name,Professor Last name,,TERM,DAY,TIME,ROOM,NOTE / DATE,pull down ,DEAN NOTES,LAB FEE
1,,,,,,18,,,,AG,AG 245,,Intro to 3D Modeling & Animation,Adam,deGrandis,,BFA FALL,TU FR,12:00-2:45,289,,,,
1,,,,,,16,,,,AG,AG 329,,Special Topics: Shaders & VFX ,Adam,deGrandis,,BFA FALL,TU FR,3:00-5:45,289,,,,
1,,,,,,18,,,,AG,AG 100 ,1,Intro to Game Development,Adam,deGrandis,,BFA SPRING,M TH,8:30-11:15,277,,,,
1,,,,,,18,,,,AG,AG 221,2,Sophomore Production Lab,Adam,deGrandis,,BFA SPRING,M TH,1:30-4:15,277,,,,
1,,,,,,18,,,,AG,AG 345,,Intermediate 3D Modeling & Animation,Adam,deGrandis,,BFA SPRING,TU FR,8:30-11:15,289,,,,
0.5,,,,,,-,,,,AG,AG 351,,Animation & Game Art Concepts and History,Adam,deGrandis,,BFA SPRING,TU FR,12:00-2:45,213,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,16,,,,AM,AM 202,,Sound Design – Painting in the Sonic Realm,Steve,Drown,,BFA FALL,WED,12:00-5:30,007,,,,
x,,,,,,x,,,,AM,AM 400,,(M) Music Minor Capstone,Steve,Drown,,BFA FALL,-,-,-,,Independent Study,,
1,,,,,,12,,,,AM,AM 110,,(M) Intro to Digital Audio Recording,Steve,Drown,,BFA SPRING,TU FR,8:45-11:30,07,,,,
x,,,,,,IS,,,,AM,AM 400,,(M) Music Minor Capstone,Steve,Drown,,BFA SPRING,-,-,-,,Independent Study,,
,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,16,,,,AG,AG 302,,Background Design for Animation,Lauren,Duda,,BFA FALL,M TH,1:30--4:15,277,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
0.33,,,,,,12,,,,AM,AM 105,,Instrumental Lab: Keyboard  1 cr. class runs 7-week (1/11-2/26),Peter,Dugas,,BFA SPRING,TU,7:00-8:15,07,week 1-7,,,
,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,seniors,,,,GD,GD 431,,Senior Studio. [anticipate 8 seniors],Jan,Fairbairn,,BFA FALL,M TH,8:45-11:30,MAJOR SPACE,3/6,Prof changed,,
0,,,,,,18,,,,GD,GD 211,,Typography I,Jan,Fairbairn,,BFA FALL,M TH,1:30-4:15,316B,3/11,Prof changed,,
1,,,,,,18,,,,GD,GD 331,,Typography II,Jan,Fairbairn,,BFA SPRING,M TH,1:30-4:15,316,3/11,,Time change,
,,,,,,,,,,,,,,,,,,,,,,,,
0.5,,,,,,20,,,,AS,AH 101,1,Art History Survey I,Alison,Ferris,,BFA FALL,WED 3:00-4:30 PMA,MON 10:00-11:15,105,revised schedule,,,
0.5,,,,,,20,,,,AS,AH 101,2,Art History Survey I,Alison,Ferris,,BFA FALL,WED 3:00-4:30 PMA,MON 1:30-2:45,105,revised schedule,,,
0.5,,,,,,20,,,,AS,AH 101,3,Art History Survey I,Alison,Ferris,,BFA FALL,WED 3:00-4:30 PMA,MON 3:00-4:15,105,revised schedule,,,
1,,,,,,25,,,,AS,AH 102,3,Art History Survey II,Alison,Ferris,,BFA SPRING,M TH,3:00-4:15,104,revised schedule,,,
1,,,,,,25,,,,AS,AH 102,4,Art History Survey II,Alison,Ferris,,BFA SPRING,M TH,4:30-5:45,104,revised schedule,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,18,,,,AG,AG 201,1,Character Animation ,Adam,Fisher,,BFA FALL,TU FR,12:00-2:45,277,,,,
0.5,,,,,,14,,,,AG,AG 304,2-level class,Stop-Motion and FX,Adam,Fisher,,BFA FALL,WED,9:00-2:45,277,,,,
0.5,,,,,,-,,,,AG,AG 305,2-level class,Adv Stop-Motion and FX,Adam,Fisher,,BFA FALL,WED,9:00-2:45,277,,,,
1,,,,,,seniors,,,,AG,AG 421,,Major Capstone Project Pre-Production,Adam,Fisher,,BFA FALL,M TH,8:45-11:30,MAJOR SPACE,,,,
1,,,,,,18,,,,AG,AG 221,1,Sophomore Production Lab,Adam,Fisher,,BFA SPRING,M TH,1:30-4:15,289,,,,
1,,,,,,18,,,,AG,AG 422,,Major Capstone Production.  (3 cr. or 6 cr. option),Adam,Fisher,,BFA SPRING,M TH,8:45-11:30,111-112,,,,
0,,,,,,,,,,AG,AG 201,1,Character Animation ,Adam,Fisher,,BFA SPRING,AG 120/ AG 120-ADV,,,,Course is cut,,
,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,20,,,,FN,FN 113,3,Two-Dimensional Design,Jim,Flahaven,,BFA FALL,M TH,8:30-11:15,502,3/5,Prof changed,,
1,,,,,,18,,,,FN,DR 242,,Color & Drawing: Mixed Media,Jim,Flahaven,,BFA FALL,M TH,1:30-4:15,102,3/6/26,,,
1,,,,,,18,,,,FN,DR 100,1,Introduction to Drawing,Jim,Flahaven,,BFA SPRING,TU FR,8:30-11:15,102,,,,
1,,,,,,18,,,,FN,DR 100,2,Introduction to Drawing,Jim,Flahaven,,BFA SPRING,TU FR,12:00-2:45,102, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,12,,,,WF,WF 101,,Introduction to Woodworking,John,Gardiner,,BFA FALL,,,,,Course is cut,02/12 MH moved to spring,
0,,,,,,12,,,,WF,WF 235,,CURViture,John,Gardiner,,BFA SPRING,,,,,Course is cut,02/12 MH Moved to fall ,
0.5,,,,,,-,,,,FN,FN 109,5WC,3D Materiality:Woodworking  week 8-14,John,Gardiner,,BFA FALL,TU FR,3:00-5:45,318-319, ,,,
0.5,,,,,,12,,,,FN,FN 109,6WC,3D Materiality: Woodworking wk 1-7,John,Gardiner,,BFA FALL,TU FR,3:00-5:45,318-319, ,,,
1,,,,,,12,,,,WF,WF 235,,CURViture,John,Gardiner,,BFA FALL,M TH,1:30-4:15,318-319,,,02/12 MH moved to fall from spring term,
1,,,,,,12,,,,WF,WF 246,,Woodworking in Two Dimensions,John,Gardiner,,BFA FALL,TU FR,12:00-2:45,318-319,,,,
1,,,,,,12,,,,WF,WF 101,,Introduction to Woodworking,John,Gardiner,,BFA SPRING,M TH,1:30-4:15,318-319,Day time change,,02/12 MH Moved to spring from fall term,
1,,,,,,12,,,,WF,WF 125,,Models & Mockups,John,Gardiner,,BFA SPRING,TU FR,12:00-2:45,318-319,,,,
0.5,,,,,,JR MAJOR,,,,WF,WF 322,,Wood & Furniture Major Studio,John,Gardiner,,BFA SPRING,M TH,8:45-11:30,318-319,,,,
0.5,,,,,,SR MAJOR,,,,WF,WF 422,,Wood & Furniture Major Studio,John,Gardiner,,BFA SPRING,M TH,8:45-11:30,318-319,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,18,,,,AG,AG 452,,Major Capstone Project Post-production,Amelia,Garretson-Persans,,BFA SPRING,M TH,1:30-4:15,Major space,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,120,,,,SEM,SEM 100,,First Year Seminar,Paul,Gebhardt,,BFA FALL,WED,10:00-11:15,PMA,3/9,,,
,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,junior,,,,CE,CE 301,,Ceramics III: Majors Studio. [anticipate 6 juniors],Tyler,Gulden,,BFA FALL,M TH,8:45-11:30,501-511,2/20,Prof changed,,
0,,,,,,seniors,,,,CE,CE 401,,Ceramics IV: Majors Studio [anticipate 2 seniors],Tyler,Gulden,,BFA FALL,M TH,8:45-11:30,501-511,2/20,Prof changed,,
1,,,,,,14,,,,CE,CE 201,1,Ceramics Throwing- Beginning,Tyler,Gulden,,BFA FALL,M TH,1:30-4:15,511,,,,
1,,,,,,16,,,,CE,CE 305,,Ceramics Throwing-Advanced,Tyler,Gulden,,BFA SPRING,M TH,1:30-4:15,511,,,Must have taken intro to ceramics or test out with Faculty ,
,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,18,,,,IL,IL 240,2,Setting the Scene ,Devin,Harrington,,BFA FALL,M W,6:30-9:15,103,,,,
